test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,always_search,baseline,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,,64.0,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,cp0,reference,1,1,2000,1,True,True,0.04148323306441307,0.040229670517146585,0.042792665492743256,0.0006485771057490704,0.9511394044160842,0.03645720884203911,0.005026024222373963,30.97,0.029028056112224438,205.7435,3.0465,0.13205587600000002,4.344,,,0.9926226374804974,0.9694293372333049,0.9561654286384582,0.0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.011823955565690995,0.01066057481803,0.013002057909034193,0.0005980969504169425,0.3645,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,fixed_K16,baseline,1,1,2000,1,True,True,0.058145105808973314,0.056533410027623174,0.05981115447357297,0.000838208054446178,0.934477531671524,0.05507224008440972,0.0030728657245635985,16.0,0.014028056112224454,320.808,0.659,0.24323303699999999,2.8005,,,0.9926226374804974,0.9694293372333049,0.9375503973960877,0.0,0.01666187274456024,0.015229596872814,0.018113778671249747,0.0007338193034319357,0.34175,,,1,False,True,0,0.028485828310251236,0.026820306573063134,0.030169232515618205,0.0008585175226495351,0.238,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,p3_star,reference,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,,272.0,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k1,learned,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,936.0,64.0,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k16,learned,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,357.875,81.136,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k16_all71,learned,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,267.032,81.576,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k16_clock,learned,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,936.0,64.0,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k16_cs,learned,1,1,2000,1,True,True,0.029659277498722075,0.02869524951092899,0.030673665599897502,0.0005041314368964284,0.9629633599817753,0.02319330024719238,0.006465977251529693,64.0,0.062124248496993974,159.572,18.085,0.084515034,1.436,359.435,81.344,0.9926226374804974,0.9694293372333049,0.9694293372333049,1.0,-0.011823955565690995,-0.013002057909034193,-0.01066057481803,0.0005980969504169425,0.6355,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0
A,posterior_mean_shrunk,cell,A,1000,beta_good_common_T1000_cap64,beta_good_common,64,10013000,phi_k16_famA_only,learned,1,1,2000,1,True,True,0.029664918512105943,0.028707239730283617,0.03068078411743045,0.000503802673976059,0.9629577189683914,0.023216284334659578,0.006448634177446366,63.825,0.061948897795591165,159.5805,18.062,0.084607496,1.4135,6.106,148.09924050632912,0.9926226374804974,0.9694293372333049,0.9694063531458378,0.9875,-0.011818314552307129,-0.012999605969525874,-0.010656985943205655,0.0005968657282178978,0.6355,,,1,False,True,0,5.641013383865357e-06,-0.00012706522429652974,0.00013761952031927645,6.643045142408933e-05,0.50025,,,1,False,True,0
